age,pclass,survived,name,sex,sibsp,parch,ticket,fare
43,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,1,0,11778,55.4417
36,1,1,"Fleming, Miss. Margaret",female,0,0,17421,110.8833
52,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,1,0,36947,78.2667
38,1,1,"Endres, Miss. Caroline Louise",female,0,0,PC 17757,227.525
36,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,1,0,PC 17569,146.5208
21,1,1,"Longley, Miss. Gretchen Fiske",female,0,0,13502,77.9583
37,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,1,0,19928,90
18,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,1,0,PC 17757,227.525
53,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,2,0,11769,51.4792
48,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,1,3,PC 17608,262.375
25,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,1,0,11765,55.4417
76,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Sieg",female,1,0,19877,78.85
51,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,1,0,13502,77.9583
36,1,1,"Crosby, Miss. Harriet R",female,0,2,WE/P 5735,71
24,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,0,0,PC 17482,49.5042
36,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,0,0,PC 17598,31.6833
17,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria",female,1,0,PC 17758,108.9
35,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,0,113803,53.1
22,1,1,"Bowerman, Miss. Elsie Edith",female,0,1,113505,55
48,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,0,0,17466,25.9292
33,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,1,0,113806,53.1
27,1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,1,2,F.C. 12750,52
50,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,1,1,113503,211.5
36,1,1,"Young, Miss. Marie Grice",female,0,0,PC 17760,135.6333
50,2,1,"Parrish, Mrs. (Lutie Davis)",female,0,1,230433,26
22,2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,1,1,248738,29
44,2,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,1,0,244252,26
54,2,1,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,1,3,29105,23
20,2,1,"Hocking, Miss. Ellen ""Nellie""",female,2,1,29105,23
18,2,0,"Hiltunen, Miss. Marta",female,1,1,250650,13
13,2,1,"Mellinger, Miss. Madeleine Violet",female,0,1,250644,19.5
28,2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,1,0,2003,26
23,2,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,0,0,SC/AH Basl,13.7917
34,2,1,"Lemore, Mrs. (Amelia Milley)",female,0,0,C.A. 34260,10.5
12,2,1,"Watt, Miss. Bertha J",female,0,0,C.A. 33595,15.75
15,2,1,"Brown, Miss. Edith Eileen",female,0,2,29750,39
42,2,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,1,0,SC/AH 3085,26
19,2,1,"Bentham, Miss. Lilian W",female,0,0,28404,13
18,2,1,"Doling, Miss. Elsie",female,0,1,231919,23
38,2,0,"Funk, Miss. Annie Clemmer",female,0,0,237671,13
34,2,1,"Doling, Mrs. John T (Ada Julia Bone)",female,0,1,231919,23
5,2,1,"West, Miss. Constance Mirium",female,1,2,C.A. 34651,27.75
24,2,1,"Mallet, Mrs. Albert (Antoinette Magnin)",female,1,1,S.C./PARIS,37.0042
35,2,1,"Cameron, Miss. Clear Annie",female,0,0,F.C.C. 135,21
24,2,1,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,1,0,SC/PARIS 2,27.7208
1,2,1,"Laroche, Miss. Louise",female,1,2,SC/Paris 2,41.5792
24,2,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,2,1,243847,27
50,2,1,"Ridsdale, Miss. Lucy",female,0,0,W./C. 1425,10.5
48,2,1,"Herman, Mrs. Samuel (Jane Laver)",female,1,2,220845,65
22,3,1,"Hellstrom, Miss. Hilda Maria",female,0,0,7548,8.9625
23,3,0,"Oreskovic, Miss. Jelka",female,0,0,315085,8.6625
19.5,3,0,"Risien, Mrs. Samuel (Emma)",female,0,0,364498,14.5
47,3,1,"Wilkes, Mrs. James (Ellen Needs)",female,1,0,363272,7
19.5,3,0,"Sage, Mrs. John (Annie Bullen)",female,1,9,CA. 2343,69.55
28,3,0,"Petranec, Miss. Matilda",female,0,0,349245,7.8958
22,3,0,"Kink, Miss. Maria",female,2,0,315152,8.6625
9,3,0,"Andersson, Miss. Ingeborg Constanzia",female,4,2,347082,31.275
26,3,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,1,0,A/5. 3336,16.1
45,3,1,"Hansen, Mrs. Claus Peter (Jennie L Howard)",female,1,0,350026,14.1083
